rep t logL AIC nb_colonies AUC BOYCE_index BOYCE_pvalue
2 3 407.944043122168 825.888086244336 0.021 0.502392623716153 NA NA
2 4 406.165266193169 822.330532386337 0.037 0.515260270774977 -1 1
2 5 404.127738942297 818.255477884593 0.082 0.527252567693744 -0.866025403784439 0.333333333333333
2 6 399.40315794777 808.806315895541 0.155 0.543504901960784 0.5 1
2 7 390.726497874707 791.452995749414 0.272 0.594771241830065 -0.8 0.333333333333333
2 8 382.107189663974 774.214379327947 0.512 0.644549486461251 -0.872081599272381 0.053854217727542
2 9 368.66179410389 747.323588207779 0.95 0.702118347338936 -0.753702346348183 0.0835232813732597
2 10 359.446134142217 728.892268284435 1.293 0.702701914098973 -0.846925720824159 0.00198836867067903
2 11 350.480167768984 710.960335537968 1.716 0.700046685340803 -0.723477039729769 0.00782590953226598
2 12 339.885862476469 689.771724952939 2.26 0.695990896358543 -0.821010892969797 5.36038719804049e-05
2 13 325.192691351797 660.385382703595 3.036 0.706582633053221 -0.514720645941462 0.0202220712255483
2 14 306.112985058413 622.225970116826 4.458 0.727678571428571 -0.177942174067323 0.405483547067139
2 15 283.133329228271 576.266658456542 6.802 0.75796568627451 -0.134228249613816 0.495885287074219
2 16 265.12433224232 540.24866448464 9.14 0.74422268907563 0.115629287009115 0.521663936816638
2 17 249.243710238798 508.487420477595 11.934 0.740750466853408 0.689810483152997 8.49246353803209e-07
2 18 231.419570342939 472.839140685878 15.935 0.752363445378151 0.376468599402595 0.00835674865557601
2 19 217.284082292737 444.568164585473 20.765 0.755427170868347 0.692762326170222 4.41864895280777e-10
2 20 205.873493247829 421.746986495658 26.683 0.747549019607843 0.525379948023042 1.30069305227482e-06
2 21 193.086690210464 396.173380420928 35.324 0.750350140056023 0.461723604576569 3.60936954211595e-06
2 22 181.357257992885 372.71451598577 46.03 0.765406162464986 0.164375734678998 0.0861645924694781
2 23 175.691885235551 361.383770471102 58.238 0.761525443510738 0.223691537097768 0.0128778530818082
2 24 174.558165991083 359.116331982166 70.776 0.754901960784314 0.537740797826314 6.16214626037948e-12
2 25 174.640802481576 359.281604963152 84.48 0.758636788048553 0.510666457943137 7.13525140632349e-12
3 1 409.023701743216 828.047403486431 0 0.5 NA NA
3 2 409.024701243549 828.049402487097 0.001 0.498366013071895 NA NA
3 3 409.028696252862 828.057392505723 0.005 0.495098039215686 NA NA
3 4 409.035686771154 828.071373542308 0.012 0.490196078431373 NA NA
3 5 407.661371487704 825.322742975409 0.026 0.507936507936508 -1 1
3 6 404.509259906792 819.018519813584 0.057 0.538515406162465 -0.866025403784439 0.333333333333333
3 7 400.162732044759 810.325464089517 0.113 0.561653828197946 -0.5 1
3 8 396.654113063543 803.308226127086 0.197 0.565651260504202 0.9 0.0833333333333333
3 9 392.933960180441 795.867920360883 0.33 0.569969654528478 1 0.00277777777777778
3 10 386.862921406117 783.725842812233 0.535 0.569648692810457 -0.155691414048724 0.712761707999162
3 11 376.622748885098 763.245497770196 0.815 0.5843837535014 -0.474644452534567 0.196696052349391
3 12 362.055369036965 734.11073807393 1.416 0.645337301587302 -0.260606060606061 0.469675250206491
3 13 352.444470421576 714.888940843152 2.071 0.635387488328665 0.254147525250522 0.380595156128483
3 14 337.025284316758 684.050568633516 2.715 0.664945144724556 0.806324810508557 3.05571071015527e-05
3 15 325.114465292442 660.228930584884 3.607 0.67469070961718 0.75129690582701 9.72485709654457e-06
3 16 308.382239538474 626.764479076948 4.769 0.696428571428571 0.680705923660866 1.80914164427181e-05
3 17 295.19087490348 600.38174980696 6.359 0.692168534080299 0.453190857186128 0.00376439290007129
3 18 274.4535325215 558.907065042999 8.362 0.715423669467787 0.58071781204605 2.88844770164417e-05
3 19 250.950005358288 511.900010716575 12.015 0.737570028011204 0.919386013495305 1.01340503344575e-22
3 20 230.862309024417 471.724618048834 16.683 0.73891223155929 0.966338886949138 7.40849750662823e-39
3 21 214.252561595906 438.505123191813 21.989 0.74468954248366 0.821163383813404 1.85781609916512e-19
3 22 203.341900088303 416.683800176606 28.011 0.743464052287582 0.783701313358197 2.88204587110093e-19
3 23 193.470101438378 396.940202876757 36.087 0.748045051353875 0.869489647582071 1.04755019375152e-32
3 24 181.723330212478 373.446660424957 46.978 0.757994864612512 0.851907830833857 2.23762474018908e-34
3 25 176.995603389797 363.991206779594 58.97 0.756185807656396 0.712887608633214 4.38793380779121e-22
4 1 409.024701243549 828.049402487097 0.001 0.498366013071895 NA NA
4 2 409.024701243549 828.049402487097 0.001 0.498366013071895 NA NA
4 3 407.938058080259 825.876116160519 0.015 0.504026610644258 NA NA
4 4 407.944040151937 825.888080303874 0.021 0.502392623716153 NA NA
4 5 407.264862097423 824.529724194845 0.036 0.507994864612512 -1 1
4 6 405.218366214208 820.436732428415 0.072 0.524889122315593 -0.866025403784439 0.333333333333333
4 7 402.777366917411 815.554733834822 0.12 0.538602941176471 -1 0.333333333333333
4 8 398.440839039265 806.88167807853 0.187 0.548406862745098 -0.782623792124926 0.117613760873458
4 9 393.766214246694 797.532428493389 0.312 0.540703781512605 -0.872081599272381 0.053854217727542
4 10 386.230762184452 782.461524368905 0.58 0.550070028011204 -0.852980514182919 0.00346404609629981
4 11 366.107979690625 742.21595938125 1.178 0.629114145658263 -0.854703741362213 0.000397509429174308
4 12 340.720083337928 691.440166675855 2.345 0.681109943977591 -0.812003084755816 0.000747371165668175
4 13 323.803889132805 657.60777826561 3.35 0.706991129785247 -0.784263746585166 0.000322560656333756
4 14 304.53696836724 619.073936734481 4.886 0.721055088702148 -0.697144540865554 0.000908681483769927
4 15 283.305737626453 576.611475252907 6.647 0.758024042950514 -0.450146175089124 0.0405967116715985
4 16 274.125952255707 558.251904511413 8.238 0.730392156862745 -0.0571428780504085 0.781573518006126
4 17 265.827247682769 541.654495365537 9.767 0.711134453781513 0.0777268574013507 0.672414360607517
4 18 249.031113057401 508.062226114803 12.501 0.728408029878618 0.278282879778233 0.0906941994659564
4 19 230.373600382731 470.747200765462 17.032 0.745360644257703 -0.0308458139991435 0.836929330649063
4 20 215.38182083315 440.763641666301 22.214 0.75186741363212 0.226732434784083 0.0763749202120239
4 21 204.927564948684 419.855129897368 28.063 0.745506535947713 0.500485458607761 5.60211025618284e-06
4 22 194.010491112992 398.020982225983 35.345 0.752013305322129 0.258951723298638 0.012197654793621
4 23 185.224958376007 380.449916752015 44.603 0.752859477124183 0.296417795521207 0.00183983825013404
4 24 178.581394684811 367.162789369622 54.917 0.756039915966387 0.529947155977882 1.05921101048193e-10
4 25 174.888110775179 359.776221550358 66.537 0.75671101774043 0.503339218509163 9.466495481985e-11
5 1 408.334546583925 826.66909316785 0.005 0.5 NA NA
5 2 408.341540096234 826.683080192469 0.012 0.50563141923436 -1 1
5 3 408.349526138745 826.699052277489 0.02 0.499095471521942 -1 1
5 4 408.360511672323 826.721023344647 0.031 0.492530345471522 -1 1
5 5 406.995190893963 823.990381787926 0.054 0.502013305322129 -0.866025403784439 0.333333333333333
5 6 403.846097728594 817.692195457187 0.088 0.535130718954248 -0.948683298050514 0.0513167019494862
5 7 400.010849891009 810.021699782018 0.13 0.570757469654528 -0.948683298050514 0.0513167019494862
5 8 395.562006921341 801.124013842681 0.192 0.586426237161531 -0.811679449913428 0.0498575851013405
5 9 390.467936722603 790.935873445207 0.303 0.598797852474323 -0.894613510591771 0.00112700733301905
5 10 383.730085412978 777.460170825957 0.491 0.603262138188609 -0.805690715558724 0.00489692091216167
5 11 376.571982401098 763.143964802196 0.808 0.611432072829132 -0.836205492091398 0.000700409940632681
5 12 351.146887762388 712.293775524775 1.753 0.700805322128851 -0.450128569177991 0.106299624048884
5 13 326.115624416643 662.231248833286 3.137 0.724177170868347 0.331868131868132 0.246339176413268
5 14 303.491736657389 616.983473314777 4.94 0.727095004668534 0.676985952213331 0.00104363707975048
5 15 280.736322677523 571.472645355045 6.834 0.75140056022409 0.742544405538471 9.20876201851689e-06
5 16 268.019623847056 546.039247694113 8.88 0.734272875816994 0.4650098662365 0.00558902265967521
5 17 253.962062614019 517.924125228038 11.413 0.730071195144725 0.544723708305172 0.000131899145615687
5 18 235.299569614784 480.599139229569 15.123 0.752976190476191 0.55298648618933 2.12561371661392e-05
5 19 220.349036040828 450.698072081656 20.554 0.750437675070028 0.441951694671536 0.000407411730728033
5 20 204.612470380718 419.224940761435 27.192 0.759103641456583 0.317334341331221 0.00587043247279447
5 21 194.882587037769 399.765174075538 34.712 0.744456115779645 0.701355708898065 1.94484586947456e-14
5 22 187.267136978152 384.534273956304 43.337 0.742209383753502 0.390018424807545 4.65224760312688e-05
5 23 179.827836748431 369.655673496861 53.415 0.744922969187675 0.203682999760537 0.0227083716608977
5 24 176.389237931839 362.778475863678 65.787 0.744135154061625 0.668943469182991 1.67415283883466e-19
5 25 173.56002949396 357.120058987921 78.77 0.744310224089636 0.842242901260865 8.70035074550881e-45
6 1 409.032675359615 828.065350719229 0.009 0.496732026143791 NA NA
6 2 409.043657899177 828.087315798354 0.02 0.490196078431373 NA NA
6 3 407.270847137299 824.541694274597 0.042 0.503151260504202 NA NA
6 4 406.200219899876 822.400439799751 0.072 0.505368814192344 -0.5 1
6 5 403.770151772151 817.540303544302 0.131 0.522759103641457 -0.737864787372622 0.262135212627378
6 6 400.246528299495 810.49305659899 0.198 0.538982259570495 -0.737864787372622 0.262135212627378
6 7 395.457559478379 800.915118956759 0.313 0.559232026143791 1 0.0833333333333333
6 8 391.575111515725 793.150223031451 0.469 0.550711951447246 0.521793932087204 0.288343233800394
6 9 384.234564367155 778.469128734311 0.685 0.572799953314659 0.642857142857143 0.0961805555555556
6 10 375.860942129123 761.721884258245 0.97 0.597251400560224 0.121953486663821 0.737159093806689
6 11 367.334217871023 744.668435742047 1.323 0.614670868347339 0.542266967707079 0.0685411247159128
6 12 356.669103155943 723.338206311885 1.861 0.631740196078431 -0.010989010989011 0.975828301047903
6 13 337.4516207081 684.9032414162 2.801 0.664857609710551 0.132352941176471 0.611953473917796
6 14 311.959767958077 633.919535916155 4.246 0.715219421101774 -0.240906583573375 0.256797079102313
6 15 288.311236882928 586.622473765856 6.063 0.737219887955182 0.066566254400321 0.736456223318251
6 16 273.621066911737 557.242133823475 7.981 0.731179971988795 0.270390076426722 0.134460279415934
6 17 257.321950690371 524.643901380741 10.612 0.732142857142857 0.28999597356315 0.0733245132948049
6 18 238.199263491552 486.398526983104 14.237 0.747082166199813 0.43682043623225 0.00170052847328915
6 19 223.995961715281 457.991923430562 18.454 0.738999766573296 0.877527955060199 3.38002223212602e-19
6 20 208.431833479363 426.863666958725 25.089 0.740517040149393 0.898800732313233 4.71293658942027e-26
6 21 196.336394387498 402.672788774996 33.135 0.74781162464986 0.744705970922941 1.05538870460207e-15
6 22 187.080325732505 384.16065146501 41.545 0.751779878618114 0.734255571242904 3.74720608793004e-17
6 23 178.998430421284 367.996860842569 51.738 0.761379551820728 0.59967665574568 8.7842274406038e-12
6 24 173.563518149117 357.127036298235 64.392 0.769578664799253 0.607691598144102 7.21184845658361e-14
6 25 173.149376461975 356.298752923949 77.906 0.768032212885154 0.76539700008225 5.7349500460285e-29
7 1 409.025700743882 828.051401487764 0.002 0.496732026143791 NA NA
7 2 409.030694255524 828.061388511048 0.007 0.493464052287582 NA NA
7 3 408.353511209656 826.707022419312 0.024 0.495856676003735 NA NA
7 4 406.307771227839 822.615542455677 0.062 0.508811858076564 NA NA
7 5 398.395477837435 806.79095567487 0.317 0.55640172735761 -1 1
7 6 389.422728838968 788.845457677936 0.608 0.586513772175537 -0.948683298050514 0.0513167019494862
7 7 379.138211986661 768.276423973322 0.858 0.62640056022409 -0.66688592885535 0.218893981313232
7 8 373.060279258747 756.120558517495 1.084 0.626750700280112 -0.7 0.233333333333333
7 9 360.267150285818 730.534300571636 1.365 0.670401493930906 -0.485714285714286 0.355555555555556
7 10 351.539483452319 713.078966904638 1.773 0.662406629318394 -0.719101209402831 0.0190882299898393
7 11 343.831874375107 697.663748750214 2.324 0.672064659197012 -0.619315130912622 0.0317508984583571
7 12 329.870393717744 669.740787435488 3.263 0.670138888888889 -0.351364428195161 0.166684511732435
7 13 313.653678404938 637.307356809875 4.18 0.706465919701214 -0.546033392091566 0.00856558506912104
7 14 303.31023005651 616.620460113021 5.241 0.705327964519141 0.069682419185192 0.740661609113483
7 15 288.45115802314 586.902316046281 6.769 0.710375816993464 -0.117962192002094 0.534714681073025
7 16 269.862855301014 549.725710602027 9.262 0.709908963585434 -0.182290029370518 0.273348803785845
7 17 251.015426620324 512.030853240649 12.229 0.721259337068161 0.31710179936522 0.0382737904554489
7 18 237.417997340314 484.835994680628 15.881 0.716007236227824 0.099303720072726 0.46651375764352
7 19 219.649314720916 449.298629441833 21.064 0.730100373482726 0.276443555956648 0.0214840294523949
7 20 205.274921418406 420.549842836812 27.96 0.731617647058824 0.246368098426157 0.024754722692256
7 21 189.656710604261 389.313421208522 37.09 0.746235994397759 0.430031919725357 8.89968243909681e-06
