REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
48 172.011 409.024 33.4711 409.024 172.011 0.771271 0.057 1.0718419 0.8392857 0.3333333 0.154 0.8480663 0.062 0.4666667 0.067 0.3240631 0.1243094 0.1104972 0.057 0.5059524
49 175.006 409.024 33.4711 409.024 175.006 0.7548144 0.042 1.0543461 0.875 0.4117647 0.125 0.8453039 0.054 0.4457143 0.058 0.3040287 0.1270718 0.1160221 0.049 0.4735061
50 173.256 409.024 33.4711 409.024 173.256 0.7612045 0.062 1.0699419 0.7678571 0.254902 0.135 0.8480663 0.062 0.4858757 0.062 0.3479672 0.179558 0.0718232 0.062 0.5129552
51 178.169 409.024 33.4711 409.024 178.169 0.7523634 0.051 1.0672777 0.875 0.3888889 0.137 0.8453039 0.058 0.4565217 0.059 0.3156751 0.1298343 0.1104972 0.051 0.4861111
52 175.168 409.024 33.4711 409.024 175.168 0.75630252 0.051 1.05841444 0.78571429 0.29084967 0.156 0.84530387 0.051 0.46560847 0.051 0.31687904 0.21270718 0.06629834 0.051 0.49486461
53 174.169 409.024 33.4711 409.024 174.169 0.7592787 0.048 1.0588654 0.8035714 0.3104575 0.132 0.8453039 0.05 0.4673913 0.05 0.3213193 0.198895 0.0718232 0.048 0.4931139
54 174.891 409.024 33.4711 409.024 174.891 0.76418067 0.054 1.05862791 0.76785714 0.27124183 0.107 0.84530387 0.054 0.47252747 0.055 0.33086876 0.17127072 0.08287293 0.054 0.49661531
55 174.076 409.024 33.4711 409.024 174.076 0.77389706 0.052 1.05458785 0.85714286 0.38562092 0.149 0.8480663 0.067 0.47126437 0.076 0.34466459 0.06077348 0.13812155 0.067 0.48050887
56 177.741 409.024 33.4711 409.024 177.741 0.76105859 0.046 1.03297993 0.875 0.45098039 0.143 0.84530387 0.067 0.46341463 0.067 0.32611271 0.14364641 0.09944751 0.062 0.45588235
57 175.442 409.024 33.4711 409.024 175.442 0.7451564 0.028 1.05837331 0.91071429 0.46078431 0.134 0.84530387 0.038 0.4368932 0.038 0.2731427 0.25966851 0.06077348 0.038 0.46043417
58 177.849 409.024 33.4711 409.024 177.849 0.7508462 0.063 1.0496721 0.7678571 0.2843137 0.161 0.8480663 0.063 0.4623656 0.063 0.3140302 0.2044199 0.0718232 0.063 0.4835434
59 171.696 409.024 33.4711 409.024 171.696 0.76178805 0.051 1.03893946 0.75 0.28104575 0.138 0.8480663 0.052 0.45810056 0.052 0.31178707 0.18508287 0.08287293 0.051 0.46895425
