REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
43 154.516 409.024 33.4711 409.024 154.516 0.80255019 0.043 1.05413924 0.76785714 0.27777778 0.133 0.85911602 0.071 0.48854962 0.071 0.37845318 0.05248619 0.13259669 0.043 0.49007937
44 154.087 409.024 33.4711 409.024 154.087 0.80710201 0.054 1.07784927 0.71428571 0.19281046 0.196 0.86464088 0.054 0.51612903 0.068 0.40797466 0.04696133 0.12707182 0.054 0.52147526
45 153.124 409.024 33.4711 409.024 153.124 0.81077848 0.058 1.07105645 0.69642857 0.18627451 0.182 0.85911602 0.062 0.51428571 0.062 0.40356658 0.07734807 0.11049724 0.058 0.51015406
46 152.622 409.024 33.4711 409.024 152.622 0.816234827 0.05 1.087559163 0.75 0.212418301 0.198 0.859116022 0.054 0.522875817 0.085 0.41082748 0.008287293 0.149171271 0.05 0.537581699
47 152.544 409.024 33.4711 409.024 152.544 0.81360878 0.049 1.07110928 0.75 0.23529412 0.178 0.85635359 0.061 0.51748252 0.061 0.40559707 0.08563536 0.10497238 0.049 0.51470588
48 154.31 409.024 33.4711 409.024 154.31 0.79820261 0.051 1.0586957 0.69642857 0.20261438 0.167 0.85911602 0.051 0.49681529 0.077 0.39537813 0.02486188 0.14364641 0.051 0.49381419
49 154.634 409.024 33.4711 409.024 154.634 0.8068978 0.049 1.0790858 0.7678571 0.2418301 0.181 0.859116 0.049 0.4971098 0.049 0.3640402 0.1685083 0.0718232 0.049 0.5260271
50 154.088 409.024 33.4711 409.024 154.088 0.8049136 0.039 1.048298 0.8035714 0.3267974 0.173 0.8646409 0.052 0.4933333 0.081 0.3873716 0.0 0.160221 0.039 0.476774
51 152.513 409.024 33.4711 409.024 152.513 0.81363796 0.051 1.07052693 0.71428571 0.20261438 0.179 0.86187845 0.051 0.50632911 0.051 0.38311632 0.12707182 0.08839779 0.051 0.51167134
52 151.251 409.024 33.4711 409.024 151.251 0.81486345 0.017 1.06370775 0.98214286 0.59150327 0.17 0.85911602 0.051 0.4875 0.065 0.3707787 0.06629834 0.12707182 0.043 0.49661531
53 152.877 409.024 33.4711 409.024 152.877 0.81016573 0.017 1.0612149 0.98214286 0.59803922 0.192 0.85911602 0.059 0.5034965 0.067 0.38875646 0.06629834 0.12154696 0.057 0.4842437
54 153.679 409.024 33.4711 409.024 153.679 0.81130369 0.064 1.06860834 0.66071429 0.16013072 0.173 0.85911602 0.064 0.52112676 0.064 0.41070574 0.08287293 0.10497238 0.054 0.50840336
55 151.632 409.024 33.4711 409.024 151.632 0.81900677 0.045 1.08043139 0.80357143 0.27777778 0.181 0.86187845 0.062 0.51428571 0.062 0.40356658 0.07734807 0.11049724 0.045 0.52579365
56 155.908 409.024 33.4711 409.024 155.908 0.79630602 0.063 1.06708007 0.67857143 0.17647059 0.21 0.85635359 0.063 0.51351351 0.063 0.39767055 0.09944751 0.09944751 0.063 0.50210084
57 153.815 409.024 33.4711 409.024 153.815 0.80806489 0.063 1.06025739 0.64285714 0.15686275 0.124 0.85635359 0.063 0.51428571 0.068 0.40463539 0.05801105 0.12154696 0.063 0.4859944
58 154.212 409.024 33.4711 409.024 154.212 0.8042425 0.056 1.0636271 0.6964286 0.1960784 0.142 0.8563536 0.062 0.5106383 0.062 0.3984394 0.0801105 0.1104972 0.056 0.5003501
59 151.847 409.024 33.4711 409.024 151.847 0.80689776 0.046 1.0595054 0.75 0.25163399 0.184 0.85911602 0.046 0.48 0.081 0.37835707 0.01381215 0.15469613 0.046 0.49836601
60 152.547 409.024 33.4711 409.024 152.547 0.81048669 0.055 1.05600301 0.71428571 0.22222222 0.217 0.86187845 0.081 0.5203252 0.081 0.42309978 0.03038674 0.13259669 0.055 0.49206349
61 153.262 409.024 33.4711 409.024 153.262 0.81153711 0.024 1.06886376 0.94642857 0.50326797 0.171 0.85635359 0.046 0.4939759 0.079 0.3668869 0.01933702 0.15469613 0.045 0.50816993
